,load_id,customer_id,route_id,load_date,load_type,weight_lbs,pieces,revenue,fuel_surcharge,accessorial_charges,load_status,booking_type
56605,LOAD00056606,CUST00145,RTE00016,2025-12-30,Refrigerated,27675,19,6029.03,463.93,150,Completed,Spot
56607,LOAD00056608,CUST00180,RTE00044,2025-12-30,Dry Van,13800,23,7557.61,814.37,0,Completed,Dedicated
56610,LOAD00056611,CUST00074,RTE00021,2025-12-30,Dry Van,37362,8,5595.26,590.24,50,Completed,Spot
56614,LOAD00056615,CUST00138,RTE00056,2025-12-30,Refrigerated,43335,23,3987.6,309.24,150,Completed,Dedicated
56616,LOAD00056617,CUST00105,RTE00037,2025-12-30,Refrigerated,41595,27,4028.04,537.81,0,Completed,Spot
56617,LOAD00056618,CUST00153,RTE00012,2025-12-30,Refrigerated,36210,27,5516.77,453.91,0,Completed,Contract
56621,LOAD00056622,CUST00131,RTE00016,2025-12-30,Dry Van,14088,27,7328.45,463.93,0,Completed,Dedicated
56636,LOAD00056637,CUST00167,RTE00044,2025-12-30,Dry Van,20521,26,6307.21,814.37,0,Completed,Contract
56638,LOAD00056639,CUST00120,RTE00032,2025-12-30,Dry Van,13698,27,4614.58,451.8,150,Completed,Dedicated
56640,LOAD00056641,CUST00131,RTE00046,2025-12-30,Dry Van,21381,8,5356.62,499.18,75,Completed,Contract
56648,LOAD00056649,CUST00082,RTE00020,2025-12-30,Dry Van,28315,14,4140.5,738.48,50,Completed,Spot
56649,LOAD00056650,CUST00065,RTE00025,2025-12-30,Dry Van,18496,28,5808.64,565.38,200,Completed,Contract
56650,LOAD00056651,CUST00115,RTE00048,2025-12-30,Dry Van,16684,25,6933.19,792.88,75,Completed,Contract
56651,LOAD00056652,CUST00086,RTE00016,2025-12-30,Refrigerated,17852,2,7466.96,463.93,0,Completed,Spot
56654,LOAD00056655,CUST00181,RTE00032,2025-12-30,Refrigerated,36364,17,5080.49,451.8,150,Completed,Contract
56655,LOAD00056656,CUST00083,RTE00012,2025-12-30,Refrigerated,18020,9,6008.05,453.91,0,Completed,Dedicated
56659,LOAD00056660,CUST00155,RTE00025,2025-12-30,Dry Van,13385,14,5914.59,565.38,0,Completed,Spot
56663,LOAD00056664,CUST00108,RTE00046,2025-12-30,Dry Van,23250,10,5951.53,499.18,0,Completed,Dedicated
56665,LOAD00056666,CUST00177,RTE00048,2025-12-30,Refrigerated,41562,3,6735.26,792.88,75,Completed,Contract
56668,LOAD00056669,CUST00081,RTE00040,2025-12-30,Dry Van,23675,8,3739.34,524.7,150,Completed,Spot
56672,LOAD00056673,CUST00168,RTE00029,2025-12-30,Dry Van,12337,25,6411.87,891.82,200,Completed,Contract
56674,LOAD00056675,CUST00175,RTE00025,2025-12-30,Dry Van,24521,13,5959.35,565.38,200,Completed,Dedicated
56675,LOAD00056676,CUST00106,RTE00030,2025-12-30,Dry Van,18969,6,6050.35,708.51,100,Completed,Dedicated
56677,LOAD00056678,CUST00134,RTE00055,2025-12-31,Dry Van,21613,24,3461.08,357.25,0,Completed,Dedicated
56678,LOAD00056679,CUST00192,RTE00048,2025-12-31,Dry Van,29642,23,6920.8,792.88,0,Completed,Dedicated
56679,LOAD00056680,CUST00070,RTE00043,2025-12-31,Refrigerated,37143,26,2211.48,249.44,200,Completed,Contract
56680,LOAD00056681,CUST00128,RTE00048,2025-12-31,Dry Van,16732,11,6052.42,792.88,200,Completed,Dedicated
56681,LOAD00056682,CUST00029,RTE00029,2025-12-31,Dry Van,31996,24,5963.02,891.82,0,Completed,Spot
56683,LOAD00056684,CUST00035,RTE00043,2025-12-31,Dry Van,30323,4,2194.75,249.44,0,Completed,Dedicated
56685,LOAD00056686,CUST00135,RTE00026,2025-12-31,Dry Van,41546,11,3698.01,555.52,75,Completed,Dedicated
56686,LOAD00056687,CUST00171,RTE00028,2025-12-31,Refrigerated,11797,6,3774.08,564.72,150,Completed,Dedicated
